time,time_fmt,open,high,low,close,vwap,volume,count
1587769560,2020-04-24 23:06:00+00:00,7504.2,7504.2,7504.1,7504.2,7504.1,0.01358232,6
1587769620,2020-04-24 23:07:00+00:00,7504.2,7504.2,7504.2,7504.2,7504.2,0.06953271,1
1587769680,2020-04-24 23:08:00+00:00,7504.2,7504.2,7504.2,7504.2,0.0,0.0,0
1587769740,2020-04-24 23:09:00+00:00,7504.2,7508.1,7504.2,7506.8,7506.8,0.18587866,4
1587769800,2020-04-24 23:10:00+00:00,7506.8,7510.6,7506.8,7510.6,7510.6,0.03413374,2
1587769860,2020-04-24 23:11:00+00:00,7510.6,7510.6,7507.5,7507.5,7507.5,0.10498377,8
1587769920,2020-04-24 23:12:00+00:00,7507.9,7510.9,7507.9,7508.2,7509.3,0.17336048,9
1587769980,2020-04-24 23:13:00+00:00,7508.2,7511.6,7506.6,7511.6,7507.1,0.00674092,3
1587770040,2020-04-24 23:14:00+00:00,7511.6,7511.6,7509.4,7509.4,7510.1,0.01338842,2
1587770100,2020-04-24 23:15:00+00:00,7509.4,7510.4,7509.3,7510.3,7510.3,1.00033198,5
1587770160,2020-04-24 23:16:00+00:00,7510.3,7510.8,7508.0,7508.0,7508.9,1.19615203,8
1587770220,2020-04-24 23:17:00+00:00,7508.0,7508.1,7508.0,7508.1,7508.1,1.12117744,8
1587770280,2020-04-24 23:18:00+00:00,7508.0,7508.9,7504.9,7508.9,7507.5,0.06029524,5
1587770340,2020-04-24 23:19:00+00:00,7508.9,7508.9,7504.2,7504.2,7504.3,0.0120489,2
1587770400,2020-04-24 23:20:00+00:00,7504.2,7504.2,7504.0,7504.0,7504.0,0.37322744,8
1587770460,2020-04-24 23:21:00+00:00,7504.0,7507.1,7504.0,7506.7,7506.6,0.16213951,3
1587770520,2020-04-24 23:22:00+00:00,7506.7,7507.3,7506.7,7507.2,7507.0,5.59161597,8
1587770580,2020-04-24 23:23:00+00:00,7507.2,7507.2,7503.5,7503.5,7506.4,2.80324739,4
1587770640,2020-04-24 23:24:00+00:00,7503.5,7503.5,7503.0,7503.1,7503.0,0.50308736,3
1587770700,2020-04-24 23:25:00+00:00,7503.1,7503.1,7503.1,7503.1,7503.1,0.02289562,1
1587770760,2020-04-24 23:26:00+00:00,7503.1,7503.6,7503.1,7503.5,7503.4,5.07964712,5
1587770820,2020-04-24 23:27:00+00:00,7503.5,7503.5,7503.1,7503.1,7503.1,0.32866154,1
1587770880,2020-04-24 23:28:00+00:00,7503.2,7503.2,7503.0,7503.2,7503.1,0.09472847,5
1587770940,2020-04-24 23:29:00+00:00,7503.2,7503.2,7495.8,7495.8,7497.6,8.66919797,27
1587771000,2020-04-24 23:30:00+00:00,7495.8,7495.8,7491.6,7494.9,7492.6,5.07272727,8
1587771060,2020-04-24 23:31:00+00:00,7493.3,7494.5,7493.2,7494.4,7494.4,0.54024436,5
1587771120,2020-04-24 23:32:00+00:00,7493.2,7493.2,7493.2,7493.2,7493.2,1.4,2
