time,time_fmt,open,high,low,close,vwap,volume,count
1587165300,2020-04-17 23:15:00+00:00,1.9422,1.9527,1.9422,1.949,1.9503,3494.27938405,36
1587166200,2020-04-17 23:30:00+00:00,1.949,1.9532,1.9287,1.936,1.9416,22629.79731134,63
1587167100,2020-04-17 23:45:00+00:00,1.935,1.9416,1.9265,1.9265,1.934,4256.63510145,38
1587168000,2020-04-18 00:00:00+00:00,1.9255,1.93,1.9255,1.93,1.9292,13226.46129583,23
1587168900,2020-04-18 00:15:00+00:00,1.9385,1.9385,1.9385,1.9385,1.9385,51.17482209,1
1587169800,2020-04-18 00:30:00+00:00,1.9385,1.94,1.9337,1.9384,1.9374,2067.881626000001,14
1587170700,2020-04-18 00:45:00+00:00,1.941,1.941,1.941,1.941,1.941,45.0,2
1587171600,2020-04-18 01:00:00+00:00,1.9412,1.9473,1.9412,1.9465,1.9469,2204.65746527,8
1587172500,2020-04-18 01:15:00+00:00,1.9438,1.9438,1.9438,1.9438,1.9438,1.05104667,1
1587173400,2020-04-18 01:30:00+00:00,1.9438,1.9474,1.9438,1.9459,1.9473,51.056215,2
1587174300,2020-04-18 01:45:00+00:00,1.9463,1.9463,1.9441,1.9441,1.9462,395.52564169,6
1587175200,2020-04-18 02:00:00+00:00,1.9441,1.9441,1.9441,1.9441,0.0,0.0,0
1587176100,2020-04-18 02:15:00+00:00,1.9491,1.95,1.9491,1.95,1.9493,2866.32391164,7
1587177000,2020-04-18 02:30:00+00:00,1.95,1.951,1.95,1.951,1.9501,5803.72233136,21
1587177900,2020-04-18 02:45:00+00:00,1.955,1.9563,1.95,1.95,1.9538,368.73369562,4
1587178800,2020-04-18 03:00:00+00:00,1.957,1.9582,1.957,1.9582,1.9578,259.0,3
1587179700,2020-04-18 03:15:00+00:00,1.9582,1.9582,1.9582,1.9582,0.0,0.0,0
1587180600,2020-04-18 03:30:00+00:00,1.9558,1.9558,1.9558,1.9558,1.9558,51.0,4
1587181500,2020-04-18 03:45:00+00:00,1.9558,1.9558,1.9554,1.9554,1.9554,3.0430778,2
1587182400,2020-04-18 04:00:00+00:00,1.9554,1.9567,1.9542,1.9567,1.955,151.17805489,2
1587183300,2020-04-18 04:15:00+00:00,1.9557,1.9557,1.9557,1.9557,1.9557,540.0,1
1587184200,2020-04-18 04:30:00+00:00,1.953,1.9567,1.953,1.9567,1.9556,782.12810506,7
1587185100,2020-04-18 04:45:00+00:00,1.9567,1.9567,1.9519,1.9519,1.9562,1630.51070666,9
1587186000,2020-04-18 05:00:00+00:00,1.9529,1.956,1.9529,1.956,1.9558,607.3260664,3
1587186900,2020-04-18 05:15:00+00:00,1.956,1.9718,1.956,1.9718,1.9618,27635.85025843,65
1587187800,2020-04-18 05:30:00+00:00,1.9722,1.9739,1.9698,1.9739,1.9725,1672.15434928,13
1587188700,2020-04-18 05:45:00+00:00,1.9728,1.9728,1.9671,1.9701,1.9681,4524.55088993,14
1587189600,2020-04-18 06:00:00+00:00,1.9693,1.9714,1.9691,1.9709,1.9695,257.758,6
1587190500,2020-04-18 06:15:00+00:00,1.9703,1.9708,1.9678,1.9708,1.9698,1950.34108169,8
1587191400,2020-04-18 06:30:00+00:00,1.9708,1.9708,1.9708,1.9708,0.0,0.0,0
1587192300,2020-04-18 06:45:00+00:00,1.9589,1.9609,1.9561,1.9561,1.9597,4273.114386,14
1587193200,2020-04-18 07:00:00+00:00,1.9588,1.9588,1.9575,1.9575,1.9579,5856.56714389,16
1587194100,2020-04-18 07:15:00+00:00,1.9648,1.9648,1.962,1.962,1.9647,76.06,2
1587195000,2020-04-18 07:30:00+00:00,1.9654,1.9672,1.9654,1.9672,1.9655,784.4166865,5
1587195900,2020-04-18 07:45:00+00:00,1.9672,1.974,1.9672,1.9718,1.9733,9339.12380991,16
1587196800,2020-04-18 08:00:00+00:00,1.9718,1.9718,1.9701,1.9703,1.9711,2395.32646145,14
1587197700,2020-04-18 08:15:00+00:00,1.9704,1.9799,1.97,1.9761,1.9764,19521.51672644,51
1587198600,2020-04-18 08:30:00+00:00,1.9775,1.9782,1.9761,1.9763,1.977,5991.76990345,26
1587199500,2020-04-18 08:45:00+00:00,1.9761,1.9761,1.966,1.9662,1.9698,850.37402964,15
1587200400,2020-04-18 09:00:00+00:00,1.9662,1.9716,1.9662,1.9716,1.9716,462.5,1
1587201300,2020-04-18 09:15:00+00:00,1.9716,1.9743,1.9715,1.9723,1.9723,109.06163931,9
1587202200,2020-04-18 09:30:00+00:00,1.9744,1.976,1.9723,1.9744,1.9743,9499.39027895,25
1587203100,2020-04-18 09:45:00+00:00,1.9744,1.9744,1.9618,1.9618,1.9684,19521.54524372,40
1587204000,2020-04-18 10:00:00+00:00,1.9622,1.9652,1.9621,1.9652,1.9623,1084.0,7
