time,time_fmt,open,high,low,close,vwap,volume,count
1587597600,2020-04-22 23:20:00+00:00,80.834,80.834,80.834,80.834,0.0,0.0,0
1587597900,2020-04-22 23:25:00+00:00,80.834,80.834,80.834,80.834,0.0,0.0,0
1587598200,2020-04-22 23:30:00+00:00,80.834,80.834,80.834,80.834,0.0,0.0,0
1587598500,2020-04-22 23:35:00+00:00,80.834,80.834,80.834,80.834,0.0,0.0,0
1587598800,2020-04-22 23:40:00+00:00,80.834,80.834,80.834,80.834,0.0,0.0,0
1587599100,2020-04-22 23:45:00+00:00,80.834,80.986,80.834,80.986,80.986,1.0,1
1587599400,2020-04-22 23:50:00+00:00,81.01899999999998,81.01899999999998,80.777,80.777,80.898,16.0,2
1587599700,2020-04-22 23:55:00+00:00,80.777,80.777,80.777,80.777,0.0,0.0,0
1587600000,2020-04-23 00:00:00+00:00,81.202,81.202,80.764,80.764,81.014,14.0,2
1587600300,2020-04-23 00:05:00+00:00,80.764,80.764,80.764,80.764,0.0,0.0,0
1587600600,2020-04-23 00:10:00+00:00,80.764,80.764,80.764,80.764,0.0,0.0,0
1587600900,2020-04-23 00:15:00+00:00,80.764,80.764,80.117,80.117,80.117,0.408,2
1587601200,2020-04-23 00:20:00+00:00,80.117,80.117,80.089,80.089,80.089,2.17,1
1587601500,2020-04-23 00:25:00+00:00,80.089,80.089,80.089,80.089,80.089,14.41657853,3
1587601800,2020-04-23 00:30:00+00:00,80.089,80.089,80.089,80.089,0.0,0.0,0
1587602100,2020-04-23 00:35:00+00:00,79.917,79.917,79.917,79.917,79.917,0.81736457,1
1587602400,2020-04-23 00:40:00+00:00,79.988,80.325,79.988,80.325,80.07,4.100499,2
1587602700,2020-04-23 00:45:00+00:00,80.325,80.33,80.325,80.33,80.33,2.165,1
1587603000,2020-04-23 00:50:00+00:00,80.33,80.33,80.277,80.277,80.277,6.26579118,3
1587603300,2020-04-23 00:55:00+00:00,80.243,80.33,80.196,80.196,80.307,71.22897476,13
1587603600,2020-04-23 01:00:00+00:00,80.33,80.33,80.28,80.28,80.325,13.10681431,4
1587603900,2020-04-23 01:05:00+00:00,80.28,80.33,80.28,80.33,80.33,5.86669187,1
1587604200,2020-04-23 01:10:00+00:00,80.33,80.53699999999998,80.33,80.53699999999998,80.535,8.0,2
1587604500,2020-04-23 01:15:00+00:00,80.53699999999998,80.775,80.53699999999998,80.775,80.775,21.0,1
1587604800,2020-04-23 01:20:00+00:00,80.775,80.775,80.775,80.775,0.0,0.0,0
1587605100,2020-04-23 01:25:00+00:00,80.775,81.507,80.775,81.507,81.40899999999998,131.72049679999998,14
1587605400,2020-04-23 01:30:00+00:00,81.507,81.589,81.432,81.589,81.55,82.29682996,23
1587605700,2020-04-23 01:35:00+00:00,81.678,81.678,81.678,81.678,81.678,48.5534,15
1587606000,2020-04-23 01:40:00+00:00,81.905,81.905,81.905,81.905,81.905,11.2162921,3
1587606300,2020-04-23 01:45:00+00:00,81.905,81.905,81.905,81.905,81.905,5.08364524,3
1587606600,2020-04-23 01:50:00+00:00,81.675,81.675,81.675,81.675,81.675,0.35834439,1
1587606900,2020-04-23 01:55:00+00:00,81.675,81.905,81.675,81.905,81.905,29.43256266,5
1587607200,2020-04-23 02:00:00+00:00,82.0,82.07799999999997,81.97399999999998,81.97399999999998,82.07600000000002,50.32029716,17
